Name,NACA 2412
Chord(mm),50
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
50.000000,0.065000
47.500000,0.570000
45.000000,1.040000
40.000000,1.875000
35.000000,2.590000
30.000000,3.180000
25.000000,3.620000
20.000000,3.900000
15.000000,3.940000
12.500000,3.835000
10.000000,3.630000
7.500000,3.305000
5.000000,2.815000
3.750000,2.480000
2.500000,2.065000
1.250000,1.495000
0.625000,1.075000
0.000000,0.000000
0.625000,-0.825000
1.250000,-1.135000
2.500000,-1.505000
3.750000,-1.730000
5.000000,-1.875000
7.500000,-2.050000
10.000000,-2.115000
12.500000,-2.110000
15.000000,-2.060000
20.000000,-1.900000
25.000000,-1.670000
30.000000,-1.380000
35.000000,-1.070000
40.000000,-0.750000
45.000000,-0.410000
47.500000,-0.240000
50.000000,-0.065000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.625000,0.125000
1.250000,0.180000
2.500000,0.280000
3.750000,0.375000
5.000000,0.470000
7.500000,0.627500
10.000000,0.757500
12.500000,0.862500
15.000000,0.940000
20.000000,1.000000
25.000000,0.975000
30.000000,0.900000
35.000000,0.760000
40.000000,0.562500
45.000000,0.315000
47.500000,0.165000
50.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
50.000000,0.000000
