Name,NACA 2412
Chord(mm),200
Radius(mm),0
Thickness(%),100
Origin(%),100
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
0.000000,0.260000
-10.000000,2.280000
-20.000000,4.160000
-40.000000,7.500000
-60.000000,10.360000
-80.000000,12.720000
-100.000000,14.480000
-120.000000,15.600000
-140.000000,15.760000
-150.000000,15.340000
-160.000000,14.520000
-170.000000,13.220000
-180.000000,11.260000
-185.000000,9.920000
-190.000000,8.260000
-195.000000,5.980000
-197.500000,4.300000
-200.000000,0.000000
-197.500000,-3.300000
-195.000000,-4.540000
-190.000000,-6.020000
-185.000000,-6.920000
-180.000000,-7.500000
-170.000000,-8.200000
-160.000000,-8.460000
-150.000000,-8.440000
-140.000000,-8.240000
-120.000000,-7.600000
-100.000000,-6.680000
-80.000000,-5.520000
-60.000000,-4.280000
-40.000000,-3.000000
-20.000000,-1.640000
-10.000000,-0.960000
0.000000,-0.260000
,
Camber line,
X(mm),Y(mm)
-200.000000,0.000000
-197.500000,0.500000
-195.000000,0.720000
-190.000000,1.120000
-185.000000,1.500000
-180.000000,1.880000
-170.000000,2.510000
-160.000000,3.030000
-150.000000,3.450000
-140.000000,3.760000
-120.000000,4.000000
-100.000000,3.900000
-80.000000,3.600000
-60.000000,3.040000
-40.000000,2.250000
-20.000000,1.260000
-10.000000,0.660000
0.000000,0.000000
,
Chord line,
X(mm),Y(mm)
-200.000000,0.000000
0.000000,0.000000
